,article_title,country,population,region,article_quality,revision_id
70,Ahmad Wali Massoud,Afghanistan,41.1,SOUTH ASIA,Start,1108236868.0
71,Mohammad Daud Miraki,Afghanistan,41.1,SOUTH ASIA,C,1112192884.0
72,Abdul Sattar Mirzakwal,Afghanistan,41.1,SOUTH ASIA,Stub,1044450376.0
73,Abdul Karim Misaq,Afghanistan,41.1,SOUTH ASIA,Stub,1052669338.0
74,Ali Mohammad (politician),Afghanistan,41.1,SOUTH ASIA,Stub,1050463798.0
75,Nasruddin Mohseni,Afghanistan,41.1,SOUTH ASIA,Start,1095044526.0
76,Davood Moradian,Afghanistan,41.1,SOUTH ASIA,Stub,1106284627.0
77,Zalmai Mujadidi,Afghanistan,41.1,SOUTH ASIA,Start,1104635001.0
78,Fazal Haq Mujahid,Afghanistan,41.1,SOUTH ASIA,C,1113267490.0
79,Rahmatullah Nabil,Afghanistan,41.1,SOUTH ASIA,Start,1112496538.0
80,Sardar Mohammad Nadir Naeem,Afghanistan,41.1,SOUTH ASIA,Stub,1038680015.0
81,Daoud Naji,Afghanistan,41.1,SOUTH ASIA,Start,1110983467.0
82,Gholam Rabani Nasher,Afghanistan,41.1,SOUTH ASIA,Stub,916899472.0
83,Muhammad Yunus Nawandish,Afghanistan,41.1,SOUTH ASIA,C,1111494390.0
84,Ali Maisam Nazary,Afghanistan,41.1,SOUTH ASIA,Start,1107279930.0
85,Ghulam Faroq Nijrabi,Afghanistan,41.1,SOUTH ASIA,Stub,1093612575.0
86,Zabih-U-llah Ghazi Noristani,Afghanistan,41.1,SOUTH ASIA,Start,1001786762.0
87,Mohammed Tahir Omar,Afghanistan,41.1,SOUTH ASIA,Stub,996093541.0
88,Nasrin Oryakhil,Afghanistan,41.1,SOUTH ASIA,Start,1097277701.0
89,Murad Quenili,Afghanistan,41.1,SOUTH ASIA,Stub,1093963498.0
90,Ghulam Mohammad Rigi,Afghanistan,41.1,SOUTH ASIA,Stub,918256992.0
91,Ghulam Hassan Safi,Afghanistan,41.1,SOUTH ASIA,Stub,987269301.0
92,Hanifa Safi,Afghanistan,41.1,SOUTH ASIA,Stub,994195074.0
93,Amrullah Saleh,Afghanistan,41.1,SOUTH ASIA,FA,1115022704.0
94,Mohammed Zia Salehi,Afghanistan,41.1,SOUTH ASIA,Stub,889806024.0
95,Abdul Majid Samim,Afghanistan,41.1,SOUTH ASIA,Stub,1098092701.0
96,Saber Sangar,Afghanistan,41.1,SOUTH ASIA,Stub,1019860497.0
97,Muhammad Arif Sarwari,Afghanistan,41.1,SOUTH ASIA,Start,1079170926.0
98,Sayed Nasim Mihanparast,Afghanistan,41.1,SOUTH ASIA,Stub,1115496635.0
99,Sayyid Husayn,Afghanistan,41.1,SOUTH ASIA,Stub,1095559301.0
100,Suhail Shaheen,Afghanistan,41.1,SOUTH ASIA,Start,1102910228.0
101,Mohammad Shakir Kargar,Afghanistan,41.1,SOUTH ASIA,C,1096574840.0
102,Baktash Siawash,Afghanistan,41.1,SOUTH ASIA,Stub,1111917754.0
103,Awtar Singh,Afghanistan,41.1,SOUTH ASIA,Stub,1115100619.0
104,Hasan Ali Sultani,Afghanistan,41.1,SOUTH ASIA,Stub,1060706902.0
105,Faramarz Tamanna,Afghanistan,41.1,SOUTH ASIA,C,1106885861.0
106,Mohammad Hashem Taufiqui,Afghanistan,41.1,SOUTH ASIA,Start,1021308429.0
107,Nur ul-Haq Ulumi,Afghanistan,41.1,SOUTH ASIA,GA,1107429109.0
108,Pacha Gul Wafadar,Afghanistan,41.1,SOUTH ASIA,Stub,1020846299.0
109,Wahidullah Waissi,Afghanistan,41.1,SOUTH ASIA,C,1111508295.0
110,Gul Ahmmad Yama,Afghanistan,41.1,SOUTH ASIA,Start,1060707715.0
111,Al-Haj Suliman Yari,Afghanistan,41.1,SOUTH ASIA,Stub,1092426408.0
112,Abdul Salam Zaeef,Afghanistan,41.1,SOUTH ASIA,GA,1106388504.0
113,Abdul Zahir (Konar Education Minister),Afghanistan,41.1,SOUTH ASIA,Stub,1097261199.0
114,Mohammed Zaman,Afghanistan,41.1,SOUTH ASIA,Start,1108389318.0
115,Ziauddin (Afghan militia leader),Afghanistan,41.1,SOUTH ASIA,Start,1095799892.0
116,Qari Ziauddin,Afghanistan,41.1,SOUTH ASIA,Start,1033608758.0
117,Abdul Ghafor Zori,Afghanistan,41.1,SOUTH ASIA,Stub,994023417.0
118,Ali Pasha of Gusinje,Albania,2.8,SOUTHERN EUROPE,GA,1114426634.0
